time_remaining,q_couriers,q_orders,Theta1,Theta2,Theta3,Theta4,action_1hr,action_1.5hr,reward,next_time_remaining,next_q_couriers,next_q_orders,next_Theta1,next_Theta2,next_Theta3,next_Theta4
540,1,0,-24,0,0,0.0,0,1,-0.25,535,1,0,8,0,0,0.0
535,1,0,8,0,0,0.0,0,1,-0.25,530,2,0,8,2,0,0.0
530,2,0,8,2,0,0.0,0,1,-0.25,525,3,0,7,4,1,-1.5531779177931355
525,3,0,7,4,1,-1.5531779177931355,0,1,-0.25,520,4,2,6,5,3,-3.6796044008758244
520,4,2,6,5,3,-3.6796044008758244,2,1,-0.65,515,7,4,3,5,4,-7.646796239438254
515,7,4,3,5,4,-7.646796239438254,2,0,-0.4,510,9,5,1,10,5,-10.557027952821612
510,9,5,1,10,5,-10.557027952821612,1,2,-0.7,505,12,5,-2,11,8,-10.216998658498204
505,12,5,-2,11,8,-10.216998658498204,0,0,0.0,500,12,10,-2,10,11,-11.817517686892186
500,12,10,-2,10,11,-11.817517686892186,1,2,-0.7,495,15,11,-5,9,11,-16.817517686892188
495,15,11,-5,9,11,-16.817517686892188,0,1,-0.25,490,16,10,-6,9,11,-15.957520079705121
490,16,10,-6,9,11,-15.957520079705121,0,1,-0.25,485,17,9,-7,11,9,-17.831753308779632
485,17,9,-7,11,9,-17.831753308779632,2,1,-0.65,480,20,9,-10,7,10,-17.579500857708876
480,20,9,-10,7,10,-17.579500857708876,2,1,-0.65,475,23,11,-14,9,11,-20.826828553684866
475,23,11,-14,9,11,-20.826828553684866,1,0,-0.2,470,24,7,-16,9,9,-12.661682101800443
470,24,7,-16,9,9,-12.661682101800443,0,0,0.0,465,24,9,-17,11,9,-14.130492721065117
465,24,9,-17,11,9,-14.130492721065117,1,1,-0.45,460,26,9,-20,10,10,-14.196454553200407
460,26,9,-20,10,10,-14.196454553200407,1,1,-0.45,455,26,11,-20,10,11,-14.892336865239118
455,26,11,-20,10,11,-14.892336865239118,1,2,-0.7,450,27,10,-21,12,12,-15.698682367259254
450,27,10,-21,12,12,-15.698682367259254,2,0,-0.4,445,27,10,-21,12,11,-16.4994259812372
445,27,10,-21,12,11,-16.4994259812372,2,2,-0.9,440,30,12,-24,12,14,-15.127036422779664
440,30,12,-24,12,14,-15.127036422779664,0,1,-0.25,435,29,12,-24,9,12,-14.985208187911079
435,29,12,-24,9,12,-14.985208187911079,1,1,-0.45,430,30,12,-26,9,12,-17.365579662841537
430,30,12,-26,9,12,-17.365579662841537,2,1,-0.65,425,32,9,-28,8,9,-18.303710564070524
425,32,9,-28,8,9,-18.303710564070524,0,0,0.0,420,30,9,-27,9,9,-23.303710564070524
420,30,9,-27,9,9,-23.303710564070524,0,0,0.0,415,26,8,-23,7,9,-20.9555985155166
415,26,8,-23,7,9,-20.9555985155166,0,1,-0.25,410,26,9,-24,6,9,-15.414007687489491
410,26,9,-24,6,9,-15.414007687489491,1,2,-0.7,405,27,7,-26,6,7,-11.451495952078643
405,27,7,-26,6,7,-11.451495952078643,2,1,-0.65,400,28,6,-25,6,6,-13.754672272308147
400,28,6,-25,6,6,-13.754672272308147,1,1,-0.45,395,28,6,-22,7,6,-18.754672272308145
395,28,6,-22,7,6,-18.754672272308145,0,2,-0.5,390,28,6,-21,4,7,-20.602790274772918
390,28,6,-21,4,7,-20.602790274772918,0,1,-0.25,385,26,7,-19,3,7,-21.349611495906412
385,26,7,-19,3,7,-21.349611495906412,2,2,-0.9,380,28,4,-20,5,4,-13.21035461113842
380,28,4,-20,5,4,-13.21035461113842,1,2,-0.7,375,31,3,-21,7,4,-10.261090781239005
375,31,3,-21,7,4,-10.261090781239005,2,2,-0.9,370,33,5,-23,11,6,-10.997408987677366
370,33,5,-23,11,6,-10.997408987677366,0,0,0.0,365,30,7,-20,11,7,-14.168199361109966
365,30,7,-20,11,7,-14.168199361109966,2,1,-0.65,360,31,11,-21,15,12,-12.551954282240173
360,31,11,-21,15,12,-12.551954282240173,1,1,-0.45,355,33,11,-23,17,11,-12.9461901050589
355,33,11,-23,17,11,-12.9461901050589,2,2,-0.9,350,35,15,-25,17,16,-11.59396390586085
350,35,15,-25,17,16,-11.59396390586085,1,1,-0.45,345,35,17,-23,16,18,-15.009977023455466
345,35,17,-23,16,18,-15.009977023455466,0,0,0.0,340,32,17,-18,16,17,-17.255541075657483
340,32,17,-18,16,17,-17.255541075657483,1,0,-0.2,335,31,16,-15,17,18,-17.435498368910665
335,31,16,-15,17,18,-17.435498368910665,2,2,-0.9,330,35,16,-19,13,18,-15.495549717364336
330,35,16,-19,13,18,-15.495549717364336,0,1,-0.25,325,36,17,-19,12,17,-17.85446423972728
325,36,17,-19,12,17,-17.85446423972728,1,0,-0.2,320,34,13,-17,15,13,-16.939038728584645
320,34,13,-17,15,13,-16.939038728584645,0,2,-0.5,315,33,12,-16,16,13,-16.785890301948914
315,33,12,-16,16,13,-16.785890301948914,0,2,-0.5,310,32,15,-14,17,15,-15.023218220080356
310,32,15,-14,17,15,-15.023218220080356,2,2,-0.9,305,35,16,-16,19,18,-15.467726366296372
305,35,16,-16,19,18,-15.467726366296372,1,2,-0.7,300,34,17,-14,34,18,-13.450139871708428
300,34,17,-14,34,18,-13.450139871708428,0,1,-0.25,295,33,19,-14,39,23,-10.60251216111285
295,33,19,-14,39,23,-10.60251216111285,1,0,-0.2,290,30,34,-11,39,37,-10.10595655393252
290,30,34,-11,39,37,-10.10595655393252,0,0,0.0,285,27,39,-8,43,41,-13.121259517570534
285,27,39,-8,43,41,-13.121259517570534,1,2,-0.7,280,28,39,-11,39,41,-14.388364724058997
280,28,39,-11,39,41,-14.388364724058997,1,2,-0.7,275,30,43,-16,40,44,-16.905116144479745
275,30,43,-16,40,44,-16.905116144479745,1,2,-0.7,270,30,39,-17,25,41,-19.316399313874093
270,30,39,-17,25,41,-19.316399313874093,2,0,-0.4,265,31,40,-18,24,40,-21.001314135007107
265,31,40,-18,24,40,-21.001314135007107,0,2,-0.5,260,30,25,-18,23,26,-19.040314480978033
260,30,25,-18,23,26,-19.040314480978033,0,1,-0.25,255,30,24,-20,20,24,-17.966763106938274
255,30,24,-20,20,24,-17.966763106938274,2,0,-0.4,250,32,23,-22,22,24,-16.27145860871082
250,32,23,-22,22,24,-16.27145860871082,0,0,0.0,245,30,20,-20,16,21,-14.723580533248102
245,30,20,-20,16,21,-14.723580533248102,1,2,-0.7,240,30,22,-20,17,22,-17.613469759952874
240,30,22,-20,17,22,-17.613469759952874,2,2,-0.9,235,33,16,-23,14,16,-18.37819820594852
235,33,16,-23,14,16,-18.37819820594852,1,2,-0.7,230,35,17,-25,14,17,-20.396370277213755
230,35,17,-25,14,17,-20.396370277213755,1,2,-0.7,225,36,14,-28,13,17,-15.987728577717084
225,36,14,-28,13,17,-15.987728577717084,0,2,-0.5,220,35,14,-29,12,15,-15.172045330269551
220,35,14,-29,12,15,-15.172045330269551,2,2,-0.9,215,36,13,-32,14,14,-14.668572901337525
215,36,13,-32,14,14,-14.668572901337525,1,0,-0.2,210,34,12,-30,15,12,-14.351050573669701
210,34,12,-30,15,12,-14.351050573669701,1,2,-0.7,205,34,14,-31,14,15,-15.953223440600505
205,34,14,-31,14,15,-15.953223440600505,1,2,-0.7,200,37,15,-34,13,15,-16.97785389450254
200,37,15,-34,13,15,-16.97785389450254,1,1,-0.45,195,39,14,-36,12,16,-16.769759117912766
195,39,14,-36,12,16,-16.769759117912766,2,0,-0.4,190,37,13,-35,12,13,-16.02833228882275
190,37,13,-35,12,13,-16.02833228882275,2,1,-0.65,185,38,12,-37,10,12,-17.331039772136123
185,38,12,-37,10,12,-17.331039772136123,0,2,-0.5,180,37,12,-37,12,12,-17.180022768825737
180,37,12,-37,12,12,-17.180022768825737,0,1,-0.25,175,36,10,-36,11,11,-18.293852515436605
175,36,10,-36,11,11,-18.293852515436605,1,1,-0.45,170,35,12,-35,9,12,-14.096268883615068
