time,release_time,ready_time,deadline,location,assigned_courier,pickup_time
195,194.66208388197336,204.66208388197336,234.66208388197336,2,,
200,194.66208388197336,204.66208388197336,234.66208388197336,2,21.0,228.66208388197336
205,194.66208388197336,204.66208388197336,234.66208388197336,2,21.0,228.66208388197336
205,203.86294971969224,213.86294971969224,243.86294971969224,1,,
210,194.66208388197336,204.66208388197336,234.66208388197336,2,21.0,228.66208388197336
210,203.86294971969224,213.86294971969224,243.86294971969224,1,,
215,194.66208388197336,204.66208388197336,234.66208388197336,2,21.0,228.66208388197336
215,203.86294971969224,213.86294971969224,243.86294971969224,1,,
215,210.66164858015242,220.66164858015242,250.66164858015242,2,,
220,194.66208388197336,204.66208388197336,234.66208388197336,2,21.0,228.66208388197336
220,203.86294971969224,213.86294971969224,243.86294971969224,1,,
220,210.66164858015242,220.66164858015242,250.66164858015242,2,,
225,194.66208388197336,204.66208388197336,234.66208388197336,2,21.0,228.66208388197336
225,203.86294971969224,213.86294971969224,243.86294971969224,1,,
225,210.66164858015242,220.66164858015242,250.66164858015242,2,,
230,203.86294971969224,213.86294971969224,243.86294971969224,1,,
230,210.66164858015242,220.66164858015242,250.66164858015242,2,,
235,203.86294971969224,213.86294971969224,243.86294971969224,1,,
235,210.66164858015242,220.66164858015242,250.66164858015242,2,,
240,203.86294971969224,213.86294971969224,243.86294971969224,1,,
240,210.66164858015242,220.66164858015242,250.66164858015242,2,,
245,210.66164858015242,220.66164858015242,250.66164858015242,2,,
250,210.66164858015242,220.66164858015242,250.66164858015242,2,,
275,274.8291946357736,284.8291946357736,314.8291946357736,2,,
280,274.8291946357736,284.8291946357736,314.8291946357736,2,6.0,308.8291946357736
285,274.8291946357736,284.8291946357736,314.8291946357736,2,6.0,308.8291946357736
290,274.8291946357736,284.8291946357736,314.8291946357736,2,6.0,308.8291946357736
295,274.8291946357736,284.8291946357736,314.8291946357736,2,6.0,308.8291946357736
295,290.2384224787834,300.2384224787834,330.2384224787834,0,,
300,274.8291946357736,284.8291946357736,314.8291946357736,2,6.0,308.8291946357736
300,290.2384224787834,300.2384224787834,330.2384224787834,0,8.0,324.2384224787834
305,274.8291946357736,284.8291946357736,314.8291946357736,2,6.0,308.8291946357736
305,290.2384224787834,300.2384224787834,330.2384224787834,0,8.0,324.2384224787834
310,290.2384224787834,300.2384224787834,330.2384224787834,0,8.0,324.2384224787834
310,309.29656531700863,319.29656531700863,349.29656531700863,0,,
315,290.2384224787834,300.2384224787834,330.2384224787834,0,8.0,324.2384224787834
315,309.29656531700863,319.29656531700863,349.29656531700863,0,11.0,343.29656531700863
320,290.2384224787834,300.2384224787834,330.2384224787834,0,8.0,324.2384224787834
320,309.29656531700863,319.29656531700863,349.29656531700863,0,11.0,343.29656531700863
325,309.29656531700863,319.29656531700863,349.29656531700863,0,11.0,343.29656531700863
330,309.29656531700863,319.29656531700863,349.29656531700863,0,11.0,343.29656531700863
335,309.29656531700863,319.29656531700863,349.29656531700863,0,11.0,343.29656531700863
340,309.29656531700863,319.29656531700863,349.29656531700863,0,11.0,343.29656531700863
405,403.49889598135076,413.49889598135076,443.49889598135076,1,,
410,403.49889598135076,413.49889598135076,443.49889598135076,1,28.0,437.49889598135076
415,403.49889598135076,413.49889598135076,443.49889598135076,1,28.0,437.49889598135076
415,410.7263317944535,420.7263317944535,450.7263317944535,1,,
420,403.49889598135076,413.49889598135076,443.49889598135076,1,28.0,437.49889598135076
420,410.7263317944535,420.7263317944535,450.7263317944535,1,29.0,444.7263317944535
425,403.49889598135076,413.49889598135076,443.49889598135076,1,28.0,437.49889598135076
425,410.7263317944535,420.7263317944535,450.7263317944535,1,29.0,444.7263317944535
430,403.49889598135076,413.49889598135076,443.49889598135076,1,28.0,437.49889598135076
430,410.7263317944535,420.7263317944535,450.7263317944535,1,29.0,444.7263317944535
430,428.1352538532889,438.1352538532889,468.1352538532889,0,,
435,403.49889598135076,413.49889598135076,443.49889598135076,1,28.0,437.49889598135076
435,410.7263317944535,420.7263317944535,450.7263317944535,1,29.0,444.7263317944535
435,428.1352538532889,438.1352538532889,468.1352538532889,0,,
440,410.7263317944535,420.7263317944535,450.7263317944535,1,29.0,444.7263317944535
440,428.1352538532889,438.1352538532889,468.1352538532889,0,,
445,428.1352538532889,438.1352538532889,468.1352538532889,0,,
450,428.1352538532889,438.1352538532889,468.1352538532889,0,,
