time,release_time,ready_time,deadline,location,assigned_courier,pickup_time
5,0.13637704237751125,10.13637704237751,40.13637704237751,0,27.0,34.13637704237751
5,1.129930372585175,11.129930372585175,41.12993037258518,4,,
10,0.13637704237751125,10.13637704237751,40.13637704237751,0,27.0,34.13637704237751
10,1.129930372585175,11.129930372585175,41.12993037258518,4,26.0,38.0
10,6.683299082997834,16.683299082997834,46.683299082997834,7,,
10,9.343767537384956,19.343767537384956,49.343767537384956,10,,
15,0.13637704237751125,10.13637704237751,40.13637704237751,0,27.0,34.13637704237751
15,1.129930372585175,11.129930372585175,41.12993037258518,4,26.0,38.0
15,6.683299082997834,16.683299082997834,46.683299082997834,7,,
15,9.343767537384956,19.343767537384956,49.343767537384956,10,,
15,10.704849389414134,20.704849389414136,50.704849389414136,8,,
20,0.13637704237751125,10.13637704237751,40.13637704237751,0,27.0,34.13637704237751
20,1.129930372585175,11.129930372585175,41.12993037258518,4,26.0,38.0
20,6.683299082997834,16.683299082997834,46.683299082997834,7,,
20,9.343767537384956,19.343767537384956,49.343767537384956,10,,
20,10.704849389414134,20.704849389414136,50.704849389414136,8,,
20,16.262233461158477,26.262233461158477,56.26223346115847,12,,
20,16.7509816863248,26.7509816863248,56.7509816863248,0,,
25,0.13637704237751125,10.13637704237751,40.13637704237751,0,27.0,34.13637704237751
25,1.129930372585175,11.129930372585175,41.12993037258518,4,26.0,38.0
25,6.683299082997834,16.683299082997834,46.683299082997834,7,,
25,9.343767537384956,19.343767537384956,49.343767537384956,10,,
25,10.704849389414134,20.704849389414136,50.704849389414136,8,,
25,16.262233461158477,26.262233461158477,56.26223346115847,12,,
25,16.7509816863248,26.7509816863248,56.7509816863248,0,,
25,21.300062098908768,31.300062098908768,61.30006209890877,11,,
25,21.925549075900445,31.925549075900445,61.92554907590045,3,,
25,23.16179469835218,33.16179469835218,63.16179469835218,8,,
30,0.13637704237751125,10.13637704237751,40.13637704237751,0,27.0,34.13637704237751
30,1.129930372585175,11.129930372585175,41.12993037258518,4,26.0,38.0
30,6.683299082997834,16.683299082997834,46.683299082997834,7,,
30,9.343767537384956,19.343767537384956,49.343767537384956,10,,
