time_remaining,q_couriers,q_orders,Theta1,Theta2,Theta3,Theta4,action_1hr,action_1.5hr,reward,next_time_remaining,next_q_couriers,next_q_orders,next_Theta1,next_Theta2,next_Theta3,next_Theta4
540,2,0,-24,0,0,0.0,2,2,-0.9,535,4,0,4,1,0,0.0
535,4,0,4,2,0,0.0,1,2,-0.7,530,7,0,1,4,0,0.0
530,7,0,1,6,0,0.0,2,0,-0.4,525,9,2,-1,8,0,0.0
525,9,0,-1,10,0,0.0,1,0,-0.2,520,10,4,-1,11,0,0.0
520,10,0,-1,12,0,0.0,1,2,-0.7,515,13,4,-4,14,0,0.0
515,13,0,-4,16,0,0.0,2,1,-0.65,510,16,2,-7,16,0,0.0
510,16,0,-7,16,0,0.0,2,1,-0.65,505,19,4,-10,16,0,0.0
505,19,0,-10,18,0,0.0,1,1,-0.45,500,21,0,-12,15,4,-2.0163647806050093
500,21,0,-12,16,4,-2.0163647806050093,0,2,-0.5,495,23,4,-14,12,2,-1.1760047042646775
495,23,0,-14,12,2,-1.1760047042646775,0,0,0.0,490,23,2,-15,13,2,-0.022973371070598603
490,23,0,-15,16,2,-0.022973371070598603,2,1,-0.65,485,26,0,-19,12,2,-3.965924454592354
485,26,0,-19,12,2,-3.965924454592354,0,1,-0.25,480,27,6,-21,14,4,-1.3919131024922322
480,27,0,-21,16,4,-1.3919131024922322,0,1,-0.25,475,26,0,-20,12,2,-0.6698353187351813
475,26,0,-20,12,2,-0.6698353187351813,2,1,-0.65,470,28,4,-22,12,0,0.0
470,28,0,-22,14,0,0.0,1,0,-0.2,465,27,0,-21,15,4,-1.3128693657485613
465,27,0,-21,16,4,-1.3128693657485613,2,2,-0.9,460,30,4,-24,10,2,-2.909316273295289
460,30,0,-24,10,2,-2.909316273295289,0,1,-0.25,455,30,2,-24,13,0,0.0
455,30,0,-24,16,0,0.0,1,1,-0.45,450,30,0,-24,15,4,-2.3285502842494026
450,30,0,-24,18,4,-2.3285502842494026,2,0,-0.4,445,28,6,-22,20,2,-0.9494128927785539
445,28,0,-22,22,2,-0.9494128927785539,2,0,-0.4,440,27,6,-21,23,4,-1.307678242865748
440,27,0,-21,28,4,-1.307678242865748,1,1,-0.45,435,29,4,-22,27,0,0.0
435,29,0,-22,28,0,0.0,0,1,-0.25,430,30,10,-25,28,2,-1.737231097949433
430,30,0,-25,28,2,-1.737231097949433,2,2,-0.9,425,30,2,-26,22,4,-0.33997083853435583
425,30,0,-26,22,4,-0.33997083853435583,0,1,-0.25,420,30,0,-26,18,2,-2.0653187136912834
420,30,0,-26,20,2,-2.0653187136912834,1,0,-0.2,415,30,0,-26,19,10,-1.5900650637561171
415,30,0,-26,22,10,-1.5900650637561171,0,0,0.0,410,27,4,-23,12,2,-1.1716266369738833
410,27,0,-23,12,2,-1.1716266369738833,0,0,0.0,405,24,6,-19,11,0,0.0
405,24,0,-19,12,0,0.0,0,2,-0.5,400,24,0,-20,15,0,0.0
400,24,0,-20,18,0,0.0,1,1,-0.45,395,25,2,-21,19,4,-0.5924739941829102
395,25,0,-21,20,4,-0.5924739941829102,0,2,-0.5,390,25,6,-20,16,2,-1.8938193269224826
390,25,0,-20,16,2,-1.8938193269224826,2,1,-0.65,385,25,2,-19,11,2,-3.0632778363041666
385,25,0,-19,12,2,-3.0632778363041666,0,1,-0.25,380,23,0,-15,14,2,-0.37254993144966875
380,23,0,-15,16,2,-0.37254993144966875,0,2,-0.5,375,24,2,-15,15,2,-1.8726285463052363
375,24,0,-15,16,2,-1.8726285463052363,2,2,-0.9,370,26,4,-16,12,2,-2.468918440918543
370,26,0,-16,14,2,-2.468918440918543,2,2,-0.9,365,27,2,-17,14,2,-3.921638862855872
