time_remaining,q_couriers,q_orders,Theta1,Theta2,Theta3,Theta4,action_1hr,action_1.5hr,reward,next_time_remaining,next_q_couriers,next_q_orders,next_Theta1,next_Theta2,next_Theta3,next_Theta4
540,1,0,-18,0,0,0.0,1,0,-0.2,535,1,0,5,0,0,0.0
535,1,0,5,0,0,0.0,1,0,-0.2,530,2,0,4,2,0,0.0
530,2,0,4,2,0,0.0,0,0,0.0,525,2,0,5,2,0,0.0
525,2,0,5,2,0,0.0,2,2,-0.9,520,6,0,1,4,2,-3.171802882197987
520,6,0,1,4,2,-3.171802882197987,0,2,-0.5,515,8,0,-1,6,2,-8.171802882197987
515,8,0,-1,6,2,-8.171802882197987,1,0,-0.2,510,9,0,-2,6,5,-6.95299358726767
510,9,0,-2,6,5,-6.95299358726767,0,1,-0.25,505,10,0,-3,8,6,-10.510525232110473
505,10,0,-3,8,6,-10.510525232110473,2,0,-0.4,500,12,0,-5,9,6,-15.510525232110473
500,12,0,-5,9,6,-15.510525232110473,2,1,-0.65,495,15,0,-9,10,9,-14.730966829761858
495,15,0,-9,10,9,-14.730966829761858,1,0,-0.2,490,16,0,-10,10,9,-13.216407580807548
490,16,0,-10,10,9,-13.216407580807548,2,1,-0.65,485,19,0,-13,8,12,-14.16140952683444
485,19,0,-13,8,12,-14.16140952683444,2,1,-0.65,480,22,0,-18,11,10,-16.29800989049128
480,22,0,-18,11,10,-16.29800989049128,0,2,-0.5,475,23,0,-19,10,9,-16.097255494323022
475,23,0,-19,10,9,-16.097255494323022,1,0,-0.2,470,23,0,-19,7,12,-16.44663159573838
470,23,0,-19,7,12,-16.44663159573838,1,2,-0.7,465,26,0,-22,7,10,-18.809012115480567
465,26,0,-22,7,10,-18.809012115480567,1,0,-0.2,460,25,0,-21,6,7,-19.304493792837075
460,25,0,-21,6,7,-19.304493792837075,0,0,0.0,455,25,0,-21,9,7,-20.126825591410494
455,25,0,-21,9,7,-20.126825591410494,2,1,-0.65,450,27,0,-23,7,7,-15.474638662464487
450,27,0,-23,7,7,-15.474638662464487,2,2,-0.9,445,31,0,-27,7,9,-16.85849785264672
445,31,0,-27,7,9,-16.85849785264672,0,1,-0.25,440,30,0,-26,10,7,-13.757152296093361
440,30,0,-26,10,7,-13.757152296093361,1,0,-0.2,435,29,0,-26,11,7,-14.244785383580117
435,29,0,-26,11,7,-14.244785383580117,1,1,-0.45,430,28,0,-26,13,10,-14.577869733824622
430,28,0,-26,13,10,-14.577869733824622,1,0,-0.2,425,25,0,-24,12,12,-14.364062764820162
425,25,0,-24,12,12,-14.364062764820162,0,2,-0.5,420,25,0,-24,11,14,-14.704038447292929
420,25,0,-24,11,14,-14.704038447292929,0,1,-0.25,415,25,0,-24,11,12,-14.67201584047051
415,25,0,-24,11,12,-14.67201584047051,1,0,-0.2,410,25,0,-24,9,11,-18.493011822355292
410,25,0,-24,9,11,-18.493011822355292,0,0,0.0,405,23,0,-20,11,12,-19.01951477963701
405,23,0,-20,11,12,-19.01951477963701,0,2,-0.5,400,24,0,-19,11,10,-18.826101121970716
400,24,0,-19,11,10,-18.826101121970716,1,1,-0.45,395,25,0,-20,11,13,-13.962956767559167
395,25,0,-20,11,13,-13.962956767559167,1,0,-0.2,390,23,0,-18,11,12,-12.427286785838765
390,23,0,-18,11,12,-12.427286785838765,1,0,-0.2,385,20,0,-14,10,11,-13.031683779680973
385,20,0,-14,10,11,-13.031683779680973,2,1,-0.65,380,23,0,-17,9,11,-18.03168377968097
380,23,0,-17,9,11,-18.03168377968097,0,1,-0.25,375,21,0,-14,8,10,-22.077218856476364
375,21,0,-14,8,10,-22.077218856476364,2,0,-0.4,370,22,0,-14,6,10,-23.45061036746737
370,22,0,-14,6,10,-23.45061036746737,0,0,0.0,365,21,0,-13,5,8,-19.04658037115394
365,21,0,-13,5,8,-19.04658037115394,0,1,-0.25,360,21,0,-13,5,6,-15.353717673645173
360,21,0,-13,5,6,-15.353717673645173,2,2,-0.9,355,23,0,-15,8,5,-11.07782312007863
355,23,0,-15,8,5,-11.07782312007863,0,2,-0.5,350,23,0,-15,11,6,-13.447973113823105
350,23,0,-15,11,6,-13.447973113823105,1,1,-0.45,345,25,0,-17,11,10,-12.049785507483389
345,25,0,-17,11,10,-12.049785507483389,0,0,0.0,340,24,0,-16,13,12,-14.489565751903562
340,24,0,-16,13,12,-14.489565751903562,2,1,-0.65,335,26,0,-18,14,11,-12.637984911353156
335,26,0,-18,14,11,-12.637984911353156,2,2,-0.9,330,27,0,-18,14,14,-12.055639868980638
330,27,0,-18,14,14,-12.055639868980638,2,2,-0.9,325,29,0,-19,18,14,-14.76873613866184
325,29,0,-19,18,14,-14.76873613866184,0,1,-0.25,320,28,0,-16,22,17,-16.449368047319318
320,28,0,-16,22,17,-16.449368047319318,2,2,-0.9,315,32,0,-20,22,21,-13.149473965845042
315,32,0,-20,22,21,-13.149473965845042,1,2,-0.7,310,31,1,-15,20,24,-12.271822649115899
310,31,1,-15,20,24,-12.271822649115899,0,2,-0.5,305,32,1,-16,24,23,-13.76093542327087
305,32,1,-16,24,23,-13.76093542327087,1,0,-0.2,300,33,1,-17,30,20,-16.680411692888327
300,33,1,-17,30,20,-16.680411692888327,2,2,-0.9,295,35,1,-19,27,26,-14.966353894954496
295,35,1,-19,27,26,-14.966353894954496,2,0,-0.4,290,36,1,-20,25,31,-17.22297161150858
290,36,1,-20,25,31,-17.22297161150858,1,0,-0.2,285,35,2,-22,27,28,-16.436471727215764
285,35,2,-22,27,28,-16.436471727215764,1,2,-0.7,280,38,2,-27,29,25,-14.781405915147396
280,38,2,-27,29,25,-14.781405915147396,0,2,-0.5,275,38,2,-27,27,29,-14.093848042752462
