time_remaining,q_couriers,q_orders,Theta1,Theta2,Theta3,Theta4,action_1hr,action_1.5hr,reward,next_time_remaining,next_q_couriers,next_q_orders,next_Theta1,next_Theta2,next_Theta3,next_Theta4
540,2,0,-29,0,0,0.0,2,2,-0.9,535,4,0,6,1,0,0.0
535,4,0,6,1,0,0.0,1,1,-0.45,530,6,0,5,2,0,0.0
530,6,0,5,2,0,0.0,0,0,0.0,525,6,0,6,2,0,0.0
525,6,0,6,2,0,0.0,0,0,0.0,520,6,0,6,4,1,-7.655142126995784
520,6,0,6,4,1,-7.655142126995784,1,0,-0.2,515,7,0,5,7,2,-9.978124141962471
515,7,0,5,7,2,-9.978124141962471,0,2,-0.5,510,9,0,3,10,3,-12.083542412668363
510,9,0,3,10,3,-12.083542412668363,1,0,-0.2,505,10,0,2,10,5,-12.971332718321293
505,10,0,2,10,5,-12.971332718321293,2,2,-0.9,500,14,0,-2,10,9,-12.68952188192749
500,14,0,-2,10,8,-10.818819351293953,0,2,-0.5,495,16,0,-4,11,10,-14.078809305795328
495,16,0,-4,11,9,-12.609665211224902,0,2,-0.5,490,18,0,-7,11,9,-17.609665211224904
490,18,0,-7,11,8,-16.524075993367997,1,2,-0.7,485,21,0,-10,10,10,-18.584738543987868
485,21,0,-10,10,8,-16.530168635784662,0,2,-0.5,480,23,0,-14,8,9,-19.83448374023609
480,23,0,-14,8,7,-17.57977472840117,1,2,-0.7,475,24,0,-15,7,10,-17.867178672973804
475,24,0,-15,7,7,-13.210026545754483,0,1,-0.25,470,24,0,-15,7,8,-16.647641121655994
470,24,0,-15,7,7,-14.464012693239807,2,0,-0.4,465,26,0,-18,10,7,-19.464012693239805
465,26,0,-18,10,5,-16.51866227194879,2,2,-0.9,460,30,0,-23,10,6,-18.889683480147394
460,30,0,-23,10,5,-17.41381926100737,2,1,-0.65,455,32,0,-25,9,7,-17.323841272517306
455,32,0,-25,9,4,-10.16338131917282,1,0,-0.2,450,33,0,-26,8,8,-11.095924214598334
450,33,0,-26,8,8,-11.095924214598334,1,0,-0.2,445,31,0,-24,9,8,-16.095924214598334
445,31,0,-24,9,7,-14.008064366260015,1,0,-0.2,440,29,0,-23,9,8,-17.550825935687794
440,29,0,-23,9,8,-17.550825935687794,2,0,-0.4,435,31,0,-25,6,8,-22.550825935687794
435,31,0,-25,6,7,-21.380259709194565,1,2,-0.7,430,34,0,-28,4,9,-21.9354178128573
430,34,0,-28,4,4,-13.875116057381515,0,2,-0.5,425,35,0,-31,4,5,-16.407299966870603
425,35,0,-31,4,4,-12.91078371946574,2,1,-0.65,420,36,0,-32,5,4,-17.91078371946574
420,36,0,-32,5,3,-14.764325985393574,1,2,-0.7,415,38,0,-35,6,3,-19.764325985393572
415,38,0,-35,6,3,-19.764325985393572,2,0,-0.4,410,38,0,-36,7,4,-20.788162831448147
410,38,0,-36,7,3,-18.135328361715455,2,1,-0.65,405,37,0,-36,6,6,-15.00585815031605
405,37,0,-36,6,4,-8.622209296590448,2,1,-0.65,400,36,0,-34,6,5,-12.15326277976646
400,36,0,-34,6,5,-12.15326277976646,2,1,-0.65,395,35,0,-32,6,6,-15.46355141803908
395,35,0,-32,6,6,-15.46355141803908,1,0,-0.2,390,33,0,-30,6,6,-20.463551418039078
390,33,0,-30,6,5,-18.784327027724522,0,1,-0.25,385,31,0,-26,6,6,-20.615499120163648
385,31,0,-26,6,4,-17.152796161407622,0,0,0.0,380,29,0,-23,7,5,-19.029143213808727
380,29,0,-23,7,3,-12.773628538391534,2,1,-0.65,375,30,0,-23,8,4,-15.060114727887644
375,30,0,-23,8,3,-11.075154767382799,0,1,-0.25,370,28,0,-16,9,7,-10.154479614162767
370,28,0,-16,9,7,-10.154479614162767,2,0,-0.4,365,29,0,-17,10,8,-14.085938021261125
365,29,0,-17,10,8,-14.085938021261125,0,0,0.0,360,27,0,-15,12,9,-17.57935384698042
360,27,0,-15,12,7,-14.558327659578765,2,2,-0.9,355,30,0,-18,10,9,-16.54969692964321
355,30,0,-18,10,8,-15.253462383801615,1,1,-0.45,350,30,0,-18,9,10,-17.434420730365147
350,30,0,-18,9,9,-16.305930952846555,2,1,-0.65,345,31,0,-18,12,10,-19.879026353058737
345,31,0,-18,12,6,-13.65317539844654,1,2,-0.7,340,30,0,-17,17,7,-16.677402501918234
340,30,0,-17,17,7,-16.677402501918234,0,2,-0.5,335,28,0,-15,19,10,-17.01842252048437
335,28,0,-15,19,8,-14.133420410837417,0,0,0.0,330,26,0,-12,22,12,-15.039114651603986
330,26,0,-12,22,10,-12.341441396516846,1,2,-0.7,325,27,0,-11,28,18,-12.669833159699985
325,27,0,-11,28,16,-10.644360516009018,2,2,-0.9,320,31,0,-9,30,18,-14.423376914415071
320,31,0,-9,30,18,-14.423376914415071,1,2,-0.7,315,31,1,-9,28,27,-15.148213904143198
315,31,0,-9,28,24,-13.569181047382258,1,1,-0.45,310,32,1,-10,26,28,-16.692009744215543
310,32,0,-10,26,24,-14.814798917793988,2,2,-0.9,305,33,0,-10,27,26,-18.85239731506922
305,33,0,-10,27,19,-15.540135113740712,1,1,-0.45,300,35,0,-12,27,21,-19.2108667717739
300,35,0,-12,27,19,-18.062143477237118,2,0,-0.4,295,34,0,-11,27,23,-20.239961376135444
295,34,0,-11,27,16,-16.737758611509758,2,1,-0.65,290,36,0,-13,29,24,-16.53914713388083
290,36,0,-13,29,20,-13.798124896218855,0,2,-0.5,285,35,0,-12,31,26,-14.706015396020685
285,35,0,-12,31,23,-12.752326270712427,2,1,-0.65,280,36,0,-14,33,26,-15.275392049917
280,36,0,-14,33,24,-14.066886971239123,1,0,-0.2,275,37,0,-16,31,30,-16.58532079107381
275,37,0,-16,31,26,-14.781183791534737,2,0,-0.4,270,39,0,-18,26,31,-17.522883800597114
270,39,0,-18,26,25,-15.138938714190433,1,1,-0.45,265,38,0,-19,22,27,-19.254028920280774
265,38,0,-19,22,22,-17.057271497338803,1,1,-0.45,260,37,0,-19,19,25,-20.315176202757787
260,37,0,-19,19,19,-17.48110959970763,1,0,-0.2,255,36,0,-19,17,22,-20.27839900888194
255,36,0,-19,17,15,-16.379124689942568,1,0,-0.2,250,34,0,-22,14,17,-19.491426092896997
250,34,0,-22,14,13,-16.77480459970574,2,2,-0.9,245,34,0,-22,14,14,-20.770776255906096
245,34,0,-22,14,9,-16.109878771674435,0,2,-0.5,240,35,0,-23,13,14,-16.01744420938507
240,35,0,-23,13,11,-12.874980618536359,2,2,-0.9,235,35,0,-23,12,11,-17.87498061853636
235,35,0,-23,12,9,-15.796214527930792,0,2,-0.5,230,33,0,-21,10,12,-17.69201972623443
230,33,0,-21,10,11,-16.616308815125294,1,1,-0.45,225,33,0,-22,10,12,-20.225482230737374
225,33,0,-22,10,9,-17.14666730580304,0,2,-0.5,220,32,0,-21,9,10,-20.613004210921645
220,32,0,-21,9,6,-16.11326778050369,1,1,-0.45,215,31,0,-20,6,8,-17.239012678895243
215,31,0,-20,6,7,-15.44388955300503,1,1,-0.45,210,30,0,-20,6,8,-18.56805835770313
210,30,0,-20,6,5,-12.6812321796378,1,0,-0.2,205,30,0,-22,6,6,-15.92079258360467
205,30,0,-22,6,6,-15.92079258360467,0,0,0.0,200,28,0,-26,6,6,-20.92079258360467
200,28,0,-26,6,4,-17.197082335542163,1,1,-0.45,195,27,0,-26,7,4,-22.197082335542163
195,27,0,-26,7,3,-20.787664538490407,1,2,-0.7,190,28,0,-27,7,5,-18.03625675382433
190,28,0,-27,7,4,-15.093531186919819,0,1,-0.25,185,27,0,-27,11,7,-14.292737333067553
185,27,0,-27,11,5,-8.498665347488805,0,0,0.0,180,27,0,-27,14,6,-12.09755343079697
180,27,0,-27,14,6,-12.09755343079697,2,2,-0.9,175,28,0,-28,18,11,-11.849323654054109
175,28,0,-28,18,11,-11.849323654054109,2,1,-0.65,170,30,0,-30,17,14,-14.533899495136264
170,30,0,-30,17,13,-13.571146078302876,0,0,0.0,165,29,0,-29,18,15,-16.72892055005526
165,29,0,-29,18,11,-12.771834129759565,1,2,-0.7,160,32,0,-32,20,14,-15.629275133899304
160,32,0,-32,20,14,-15.629275133899304,0,2,-0.5,155,31,0,-31,24,15,-19.572099811443245
155,31,0,-31,24,13,-18.16135575066692,1,1,-0.45,150,30,0,-30,25,19,-17.909377975793788
150,30,0,-30,25,13,-12.783374602745267,0,0,0.0,145,27,1,-27,31,20,-13.640247926063925
