time,release_time,ready_time,deadline,location,assigned_courier,pickup_time
0,194.66208388197336,204.66208388197336,234.66208388197336,2,,
0,203.86294971969224,213.86294971969224,243.86294971969224,1,,
0,210.66164858015242,220.66164858015242,250.66164858015242,2,,
0,274.8291946357736,284.8291946357736,314.8291946357736,2,,
0,290.2384224787834,300.2384224787834,330.2384224787834,0,,
0,309.29656531700863,319.29656531700863,349.29656531700863,0,,
0,403.49889598135076,413.49889598135076,443.49889598135076,1,,
0,410.7263317944535,420.7263317944535,450.7263317944535,1,,
0,428.1352538532889,438.1352538532889,468.1352538532889,0,,
5,194.66208388197336,204.66208388197336,234.66208388197336,2,,
5,203.86294971969224,213.86294971969224,243.86294971969224,1,,
5,210.66164858015242,220.66164858015242,250.66164858015242,2,,
5,274.8291946357736,284.8291946357736,314.8291946357736,2,,
5,290.2384224787834,300.2384224787834,330.2384224787834,0,,
5,309.29656531700863,319.29656531700863,349.29656531700863,0,,
5,403.49889598135076,413.49889598135076,443.49889598135076,1,,
5,410.7263317944535,420.7263317944535,450.7263317944535,1,,
5,428.1352538532889,438.1352538532889,468.1352538532889,0,,
10,194.66208388197336,204.66208388197336,234.66208388197336,2,,
10,203.86294971969224,213.86294971969224,243.86294971969224,1,,
10,210.66164858015242,220.66164858015242,250.66164858015242,2,,
10,274.8291946357736,284.8291946357736,314.8291946357736,2,,
10,290.2384224787834,300.2384224787834,330.2384224787834,0,,
10,309.29656531700863,319.29656531700863,349.29656531700863,0,,
10,403.49889598135076,413.49889598135076,443.49889598135076,1,,
10,410.7263317944535,420.7263317944535,450.7263317944535,1,,
10,428.1352538532889,438.1352538532889,468.1352538532889,0,,
15,194.66208388197336,204.66208388197336,234.66208388197336,2,,
15,203.86294971969224,213.86294971969224,243.86294971969224,1,,
15,210.66164858015242,220.66164858015242,250.66164858015242,2,,
15,274.8291946357736,284.8291946357736,314.8291946357736,2,,
15,290.2384224787834,300.2384224787834,330.2384224787834,0,,
15,309.29656531700863,319.29656531700863,349.29656531700863,0,,
15,403.49889598135076,413.49889598135076,443.49889598135076,1,,
15,410.7263317944535,420.7263317944535,450.7263317944535,1,,
15,428.1352538532889,438.1352538532889,468.1352538532889,0,,
20,194.66208388197336,204.66208388197336,234.66208388197336,2,,
20,203.86294971969224,213.86294971969224,243.86294971969224,1,,
20,210.66164858015242,220.66164858015242,250.66164858015242,2,,
20,274.8291946357736,284.8291946357736,314.8291946357736,2,,
20,290.2384224787834,300.2384224787834,330.2384224787834,0,,
20,309.29656531700863,319.29656531700863,349.29656531700863,0,,
20,403.49889598135076,413.49889598135076,443.49889598135076,1,,
20,410.7263317944535,420.7263317944535,450.7263317944535,1,,
20,428.1352538532889,438.1352538532889,468.1352538532889,0,,
25,194.66208388197336,204.66208388197336,234.66208388197336,2,,
25,203.86294971969224,213.86294971969224,243.86294971969224,1,,
25,210.66164858015242,220.66164858015242,250.66164858015242,2,,
25,274.8291946357736,284.8291946357736,314.8291946357736,2,,
25,290.2384224787834,300.2384224787834,330.2384224787834,0,,
25,309.29656531700863,319.29656531700863,349.29656531700863,0,,
25,403.49889598135076,413.49889598135076,443.49889598135076,1,,
25,410.7263317944535,420.7263317944535,450.7263317944535,1,,
25,428.1352538532889,438.1352538532889,468.1352538532889,0,,
30,194.66208388197336,204.66208388197336,234.66208388197336,2,,
30,203.86294971969224,213.86294971969224,243.86294971969224,1,,
30,210.66164858015242,220.66164858015242,250.66164858015242,2,,
30,274.8291946357736,284.8291946357736,314.8291946357736,2,,
30,290.2384224787834,300.2384224787834,330.2384224787834,0,,
30,309.29656531700863,319.29656531700863,349.29656531700863,0,,
30,403.49889598135076,413.49889598135076,443.49889598135076,1,,
30,410.7263317944535,420.7263317944535,450.7263317944535,1,,
30,428.1352538532889,438.1352538532889,468.1352538532889,0,,
35,194.66208388197336,204.66208388197336,234.66208388197336,2,,
35,203.86294971969224,213.86294971969224,243.86294971969224,1,,
35,210.66164858015242,220.66164858015242,250.66164858015242,2,,
35,274.8291946357736,284.8291946357736,314.8291946357736,2,,
35,290.2384224787834,300.2384224787834,330.2384224787834,0,,
35,309.29656531700863,319.29656531700863,349.29656531700863,0,,
35,403.49889598135076,413.49889598135076,443.49889598135076,1,,
35,410.7263317944535,420.7263317944535,450.7263317944535,1,,
35,428.1352538532889,438.1352538532889,468.1352538532889,0,,
40,194.66208388197336,204.66208388197336,234.66208388197336,2,,
40,203.86294971969224,213.86294971969224,243.86294971969224,1,,
40,210.66164858015242,220.66164858015242,250.66164858015242,2,,
40,274.8291946357736,284.8291946357736,314.8291946357736,2,,
40,290.2384224787834,300.2384224787834,330.2384224787834,0,,
40,309.29656531700863,319.29656531700863,349.29656531700863,0,,
40,403.49889598135076,413.49889598135076,443.49889598135076,1,,
40,410.7263317944535,420.7263317944535,450.7263317944535,1,,
40,428.1352538532889,438.1352538532889,468.1352538532889,0,,
